text|to_user_id|from_user|id|from_user_id|lang|source|user_image_url|geo_type|geo_latitude|geo_longitude|created_at|time|type|rt_count|favorite_count|place|country|hashtags|urls|media_link|media_url|bounding_box|mentions_user|mentions_user_id|reply_user|reply_id|rt_user_id|rt_user|rt_id|rt_source|rt_created_at|user_tweets|user_followers|user_following|user_listed|user_favorited|user_created_at|user_lang|user_location|user_time_zone|user_description|user_url|user_protected_tweets|user_default_layout|user_default_image|images
RT @iara10de: @indio  APÓIEM #PL2431_11#🙏👏👏👏🙏 REJEITEM #REC 261_13#💀😷💀 http://t.co/guHALeRAhJ||dani201578|608003090818736129|3188674115|pt|Twitter for iPhone |http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png||||Mon Jun 08 20:10:07 +0000 2015|1433794207|Retweet|4|0|||#REC||http://twitter.com/iara10de/status/607821403635777536/photo/1|http://pbs.twimg.com/media/CG9qWA2W0AAi0fq.jpg||iara10de, indio|1929297319, 39259665|||1929297319|iara10de|607821403635777536|Twitter for Android |Mon Jun 08 08:08:10 +0000 2015|7027|47|73|0|1394|Mon Apr 20 23:24:54 +0000 2015|pt||||||True|True|100000.jpg
Doutor, eu preciso de drogas mais pesadas! http://t.co/V0J5dIaZmN||indio_cocalero|608001851125059585|1456271444|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/562776321114128384/eNjg6QLu_normal.jpeg||||Mon Jun 08 20:05:12 +0000 2015|1433793912|Tweet|0|0|Dourados, Mato Grosso do Sul|Brasil|||http://twitter.com/indio_cocalero/status/608001851125059585/photo/1|http://pbs.twimg.com/media/CHAOcrKWQAAWXoq.jpg|[[[-55.521651, -22.441805], [-54.200922, -22.441805], [-54.200922, -21.880052], [-55.521651, -21.880052]]]||||||||||3809|94|97|1|3026|Sat May 25 07:35:26 +0000 2013|pt|Dourados - MS|Mid-Atlantic|Índio cocalero não é traficante!|https://t.co/59sGzc6gXr||||100001.jpg
Indígenas têm reconhecido o direito de fechar estradas que passam em Terras Indígenas http://t.co/WSKeUls3G1 http://t.co/u18mKNhqk2||oindigenista|607995915018760192|3011302853|pt|WordPress.com |http://pbs.twimg.com/profile_images/599630948469252099/KiM6byPe_normal.jpg||||Mon Jun 08 19:41:36 +0000 2015|1433792496|Tweet|0|0||||"""http://oindigenista.com/2015/06/08/indigenas-tem-reconhecido-o-direito-de-fechar-estradas-que-passam-em-terras-indigenas"""|http://twitter.com/oindigenista/status/607995915018760192/photo/1|http://pbs.twimg.com/media/CHAJEAHUQAEjIz0.jpg|||||||||||357|37|24|0|0|Mon Feb 02 00:38:36 +0000 2015|pt||||||True||100002.jpg
"@ZeivaBuchmann ""-Quando eu tinha 17 anos,namorei um índio"".Essa família gosta de indios,né @Kefera @gustastockler 😂😂 http://t.co/j1do9d7Xkx"|248488189|nictinista|607990076073734144|557777431|pt|Twitter for Android |http://pbs.twimg.com/profile_images/565546672965820417/yd5_ILeN_normal.jpeg||||Mon Jun 08 19:18:24 +0000 2015|1433791104|Reply|0|0|||||http://twitter.com/nictinista/status/607990076073734144/photo/1|http://pbs.twimg.com/media/CHADv2lXIAAn39y.jpg||ZeivaBuchmann, Kefera, gustastockler|248488189, 37545509, 31631327|ZeivaBuchmann|||||||478|124|394|0|30|Thu Apr 19 14:48:57 +0000 2012|pt||Brasilia|Sou uma louca por youtubers que se recebe um RT começa a tremer ❤              Luba-Gusta-Chris-Lira-Kefera ❤❤❤    Sobre Guba ♥‿♥⊙﹏⊙|||||100003.jpg;100004.jpg
RT @cartacapital: No Senado surge uma esperança para as terras indígenas  http://t.co/4x8cOoxEyY http://t.co/IZoW1WBIQH||renatamara_n|607987825867399168|2938844321|pt|Twitter for Android |http://pbs.twimg.com/profile_images/547517337054613504/RGA7cgpC_normal.jpeg||||Mon Jun 08 19:09:28 +0000 2015|1433790568|Retweet|46|0||||"""http://bit.ly/1JnzvNq"""|http://twitter.com/cartacapital/status/606513426148532224/photo/1|http://pbs.twimg.com/media/CGrEv15WwAEfq5b.jpg||cartacapital|16632084|||16632084|cartacapital|606513426148532224|Buffer |Thu Jun 04 17:30:43 +0000 2015|600|36|161|1|38|Tue Dec 23 22:18:04 +0000 2014|pt||||||||100005.jpg
CARIMBÓ. A mais extraordinária manifestação de criatividade artística do povo paraense foi criada pelos índios Tupi… http://t.co/zdz84kCRNa||statuseng|607986366568210432|3031181681|pt|IFTTT |http://pbs.twimg.com/profile_images/573829075694804992/FW_mU0hh_normal.jpeg||||Mon Jun 08 19:03:40 +0000 2015|1433790220|Tweet|0|0|||||http://twitter.com/statuseng/status/607986366568210432/photo/1|http://pbs.twimg.com/media/CHAAYQiVIAAdp7Z.jpg|||||||||||194|347|2003|1|66|Wed Feb 11 20:19:38 +0000 2015|pt||||||||100006.jpg
@ZeivaBuchmann , como VC deixa sua filha andar de carro com um índio que faz  rituais indígenas enquanto dirige??😯 http://t.co/QZQ2C2iJun|248488189|Brunolis_Bruno|607985922567761920|3258715541|pt|Twitter for Android |http://pbs.twimg.com/profile_images/605959595304058880/Khl6W1iW_normal.jpg||||Mon Jun 08 19:01:54 +0000 2015|1433790114|Reply|0|0|||||http://twitter.com/Brunolis_Bruno/status/607985922567761920/photo/1|http://pbs.twimg.com/media/CG__-U1WQAEMIIP.jpg||ZeivaBuchmann|248488189|ZeivaBuchmann|||||||47|8|14|1|68|Sat May 16 00:45:32 +0000 2015|pt|Brasil||Ainda aprendendo a mexer nessa bagaça c:|||True||100007.jpg
Alguma gata a fim de namorar comigo e me dar um presente deste site? Dia 13 nóis já termina daí. https://t.co/OH0izX2U3x||indio_cocalero|607984289007988736|1456271444|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/562776321114128384/eNjg6QLu_normal.jpeg||||Mon Jun 08 18:55:24 +0000 2015|1433789724|Quoted tweet|1|1|Dourados, Mato Grosso do Sul|Brasil||"""https://twitter.com/sound3vision/status/607956423927078912"""|||[[[-55.521651, -22.441805], [-54.200922, -22.441805], [-54.200922, -21.880052], [-55.521651, -21.880052]]]||||||sound3vision|607956423927078912|||3809|94|97|1|3026|Sat May 25 07:35:26 +0000 2013|pt|Dourados - MS|Mid-Atlantic|Índio cocalero não é traficante!|https://t.co/59sGzc6gXr||||100008.jpg
RT @gilLUIZMENDES: A polêmica do dia me fez lembrar desse ótimo disco http://t.co/rhIwV1JSTP||indio_cocalero|607981543567589376|1456271444|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/562776321114128384/eNjg6QLu_normal.jpeg||||Mon Jun 08 18:44:30 +0000 2015|1433789070|Retweet|78|0|||||http://twitter.com/gilLUIZMENDES/status/607949109442564097/photo/1|http://pbs.twimg.com/media/CG_eflCWQAABP1v.jpg||gilLUIZMENDES|25541810|||25541810|gilLUIZMENDES|607949109442564097|Twitter Web Client |Mon Jun 08 16:35:37 +0000 2015|3809|94|97|1|3026|Sat May 25 07:35:26 +0000 2013|pt|Dourados - MS|Mid-Atlantic|Índio cocalero não é traficante!|https://t.co/59sGzc6gXr||||100009.jpg
RT @sou_Do_Cassy: Era uma vez, a camioneira, e o índio.❤️👏🏻✨ #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||bellinha_03|607981498432647169|3086948196|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/599685309186584577/caGwMfD1_normal.jpg||||Mon Jun 08 18:44:19 +0000 2015|1433789059|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|186|35|125|0|102|Sun Mar 15 21:36:21 +0000 2015|es||Pacific Time (US & Canada)|Se vc me deseja o mal, eu te desejo o bem. Afinal, cada um oferece aquilo que tem|||True||100010.jpg;100011.jpg;100012.jpg
